date,est_jour_ferie,nom_jour_ferie
1964-12-26,True,Saint Étienne
1965-01-01,True,Jour de l'an
1965-04-16,True,Vendredi Saint
1965-04-19,True,Lundi de Pâques
1965-05-01,True,Fête du travail
1965-05-08,True,Victoire des alliés
1965-05-27,True,Ascension
1965-06-07,True,Lundi de Pentecôte
1965-07-14,True,Fête Nationale
1965-08-15,True,Assomption
1965-11-01,True,Toussaint
1965-11-11,True,Armistice
1965-12-25,True,Noël
1965-12-26,True,Saint Étienne
1966-01-01,True,Jour de l'an
1966-04-08,True,Vendredi Saint
1966-04-11,True,Lundi de Pâques
1966-05-01,True,Fête du travail
1966-05-08,True,Victoire des alliés
1966-05-19,True,Ascension
1966-05-30,True,Lundi de Pentecôte
1966-07-14,True,Fête Nationale
1966-08-15,True,Assomption
1966-11-01,True,Toussaint
1966-11-11,True,Armistice
1966-12-25,True,Noël
1966-12-26,True,Saint Étienne
1967-01-01,True,Jour de l'an
1967-03-24,True,Vendredi Saint
1967-03-27,True,Lundi de Pâques
1967-05-01,True,Fête du travail
1967-05-04,True,Ascension
1967-05-08,True,Victoire des alliés
1967-05-15,True,Lundi de Pentecôte
1967-07-14,True,Fête Nationale
1967-08-15,True,Assomption
1967-11-01,True,Toussaint
1967-11-11,True,Armistice
1967-12-25,True,Noël
1967-12-26,True,Saint Étienne
1968-01-01,True,Jour de l'an
1968-04-12,True,Vendredi Saint
1968-04-15,True,Lundi de Pâques
1968-05-01,True,Fête du travail
1968-05-08,True,Victoire des alliés
1968-05-23,True,Ascension
1968-06-03,True,Lundi de Pentecôte
1968-07-14,True,Fête Nationale
1968-08-15,True,Assomption
1968-11-01,True,Toussaint
1968-11-11,True,Armistice
1968-12-25,True,Noël
1968-12-26,True,Saint Étienne
1969-01-01,True,Jour de l'an
1969-04-04,True,Vendredi Saint
1969-04-07,True,Lundi de Pâques
1969-05-01,True,Fête du travail
1969-05-08,True,Victoire des alliés
1969-05-15,True,Ascension
1969-05-26,True,Lundi de Pentecôte
1969-07-14,True,Fête Nationale
1969-08-15,True,Assomption
1969-11-01,True,Toussaint
1969-11-11,True,Armistice
1969-12-25,True,Noël
1969-12-26,True,Saint Étienne
1970-01-01,True,Jour de l'an
1970-03-27,True,Vendredi Saint
1970-03-30,True,Lundi de Pâques
1970-05-01,True,Fête du travail
1970-05-07,True,Ascension
1970-05-08,True,Victoire des alliés
